"PID","MS_SubClassOne_and_Half_Story_Finished_All_Ages","MS_SubClassOne_Story_1946_and_Newer_All_Styles","MS_SubClassOne_Story_PUD_1946_and_Newer","MS_SubClassTwo_Story_1946_and_Newer","MS_ZoningResidential_Low_Density","MS_ZoningResidential_Medium_Density","Lot_Frontage","Lot_Area","AlleyNo_Alley_Access","Lot_ShapeRegular","Lot_ShapeSlightly_Irregular","Land_ContourLvl","Lot_ConfigCorner","Lot_ConfigCulDSac","Lot_ConfigInside","NeighborhoodCollege_Creek","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodNorth_Ames","NeighborhoodNorthridge_Heights","NeighborhoodOld_Town","NeighborhoodSawyer","NeighborhoodSomerset","Condition_1Feedr","Condition_1Norm","Bldg_TypeOneFam","Bldg_TypeTwnhsE","House_StyleOne_and_Half_Fin","House_StyleOne_Story","House_StyleTwo_Story","Overall_QualAbove_Average","Overall_QualAverage","Overall_QualBelow_Average","Overall_QualGood","Overall_QualVery_Good","Overall_CondAbove_Average","Overall_CondAverage","Overall_CondGood","Year_Built","Year_Remod_Add","Roof_StyleGable","Roof_StyleHip","Exterior_1stHdBoard","Exterior_1stMetalSd","Exterior_1stPlywood","Exterior_1stVinylSd","Exterior_1stWd.Sdng","Exterior_2ndHdBoard","Exterior_2ndMetalSd","Exterior_2ndPlywood","Exterior_2ndVinylSd","Exterior_2ndWd.Sdng","Mas_Vnr_TypeBrkFace","Mas_Vnr_TypeNone","Mas_Vnr_TypeStone","Mas_Vnr_Area","Exter_QualGood","Exter_QualTypical","Exter_CondGood","Exter_CondTypical","FoundationBrkTil","FoundationCBlock","FoundationPConc","Bsmt_QualExcellent","Bsmt_QualGood","Bsmt_QualTypical","Bsmt_CondTypical","Bsmt_ExposureAv","Bsmt_ExposureGd","Bsmt_ExposureMn","Bsmt_ExposureNo","BsmtFin_Type_1ALQ","BsmtFin_Type_1BLQ","BsmtFin_Type_1GLQ","BsmtFin_Type_1LwQ","BsmtFin_Type_1Rec","BsmtFin_Type_1Unf","BsmtFin_SF_1","BsmtFin_Type_2Unf","Bsmt_Unf_SF","Total_Bsmt_SF","Heating_QCExcellent","Heating_QCGood","Heating_QCTypical","Central_AirN","Central_AirY","ElectricalFuseA","ElectricalSBrkr","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_QualExcellent","Kitchen_QualGood","Kitchen_QualTypical","TotRms_AbvGrd","FunctionalTyp","Fireplaces","Fireplace_QuGood","Fireplace_QuNo_Fireplace","Fireplace_QuTypical","Garage_TypeAttchd","Garage_TypeBuiltIn","Garage_TypeDetchd","Garage_TypeNo_Garage","Garage_Yr_Blt","Garage_FinishFin","Garage_FinishNo_Garage","Garage_FinishRFn","Garage_FinishUnf","Garage_Cars","Garage_Area","Garage_QualNo_Garage","Garage_QualTypical","Garage_CondNo_Garage","Garage_CondTypical","Paved_DriveDirt_Gravel","Paved_DrivePaved","Wood_Deck_SF","FenceMinimum_Privacy","FenceNo_Fence","Mo_Sold","Year_Sold","Sale_TypeNew","Sale_TypeWD.","Sale_ConditionAbnorml","Sale_ConditionNormal","Sale_ConditionPartial","Longitude","Latitude","Sale_Price","Sale_Price_Log"
526301100,0,1,0,0,1,0,141,31770,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1960,1960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,112,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,441,1080,0,0,0,0,1,0,1,1656,0,1656,1,0,1,0,3,0,0,1,7,1,2,1,0,0,1,0,0,0,1960,1,0,0,0,2,528,0,1,0,1,0,0,210,0,1,5,2010,0,1,0,1,0,-93.619754,42.054035,215000,12.2783933071098
526351010,0,1,0,0,1,0,81,14267,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1958,1958,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,108,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,406,1329,0,0,1,0,1,0,1,1329,0,1329,0,0,1,1,3,0,1,0,6,1,0,0,1,0,1,0,0,0,1958,0,0,0,1,1,312,0,1,0,1,0,1,393,0,1,6,2010,0,1,0,1,0,-93.6193873,42.052659,172000,12.0552497557956
526353030,0,1,0,0,1,0,93,11160,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1968,1968,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1045,2110,1,0,0,0,1,0,1,2110,0,2110,1,0,2,1,3,1,0,0,8,1,2,0,0,1,1,0,0,0,1968,1,0,0,0,2,522,0,1,0,1,0,1,0,0,1,4,2010,0,1,0,1,0,-93.61732,42.051245,244000,12.4049235042753
527105010,0,0,0,1,1,0,74,13830,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1997,1998,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,1,137,928,0,1,0,0,1,0,1,928,701,1629,0,0,2,1,3,0,0,1,6,1,1,0,0,1,1,0,0,0,1997,1,0,0,0,2,482,0,1,0,1,0,1,212,1,0,3,2010,0,1,0,1,0,-93.638933,42.060899,189900,12.1542528968004
527145080,0,0,1,0,1,0,43,5005,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1992,1992,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1017,1280,1,0,0,0,1,0,1,1280,0,1280,0,0,2,0,2,0,1,0,5,1,0,0,1,0,1,0,0,0,1992,0,0,1,0,2,506,0,1,0,1,0,1,0,0,1,1,2010,0,1,0,1,0,-93.633826,42.060728,191500,12.1626430876028
527146030,0,0,1,0,1,0,39,5389,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1995,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,1,415,1595,1,0,0,0,1,0,1,1616,0,1616,1,0,2,0,2,0,1,0,5,1,1,0,0,1,1,0,0,0,1995,0,0,1,0,2,608,0,1,0,1,0,1,237,0,1,3,2010,0,1,0,1,0,-93.632852,42.06112,236500,12.3737034869141
527162130,0,0,0,1,1,0,60,7500,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1999,1999,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,7,1,994,994,0,1,0,0,1,0,1,1028,776,1804,0,0,2,1,3,0,1,0,7,1,1,0,0,1,1,0,0,0,1999,1,0,0,0,2,442,0,1,0,1,0,1,140,0,1,6,2010,0,1,0,1,0,-93.639068,42.059193,189000,12.1495022940418
527165230,0,1,0,0,1,0,0,7980,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1992,2007,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,233,1168,1,0,0,0,1,0,1,1187,0,1187,1,0,2,0,3,0,0,1,6,1,0,0,1,0,1,0,0,0,1992,1,0,0,0,2,420,0,1,0,1,0,1,483,0,0,3,2010,0,1,0,1,0,-93.635951,42.057419,185000,12.1281111040605
527166040,0,0,0,1,1,0,63,8402,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1998,1998,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,7,1,789,789,0,1,0,0,1,0,1,789,676,1465,0,0,2,1,3,0,0,1,7,1,1,1,0,0,1,0,0,0,1998,1,0,0,0,2,393,0,1,0,1,0,1,0,0,1,5,2010,0,1,0,1,0,-93.638647,42.058151,180400,12.1029318866107
527180040,0,1,0,0,1,0,85,10176,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1990,1990,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,1,663,1300,0,1,0,0,1,0,1,1341,0,1341,1,0,1,1,2,0,1,0,5,1,1,0,0,0,1,0,0,0,1990,0,0,0,1,2,506,0,1,0,1,0,1,192,0,1,2,2010,0,1,0,1,0,-93.634626,42.057268,171500,12.0523385455881
